,ID,Gender,Certificate,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
149,4436,Female,IGCSE (British),4,5,3,5,5,2,1,1,1,1,3,3,2,3,4,4,4,5,5
150,4430,Female,IGCSE (British),4,5,5,5,5,1,1,3,1,1,4,2,4,1,5,5,5,5,5
151,4431,Female,IGCSE (British),4,3,3,2,4,1,1,1,1,1,1,1,1,1,2,1,4,5,3
152,4441,Female,IGCSE (British),3,4,4,3,4,1,3,3,3,3,4,3,3,3,3,2,3,4,3
153,4437,Female,IGCSE (British),5,3,3,5,5,2,2,1,2,2,3,3,2,1,3,3,3,5,5
154,4434,Female,IGCSE (British),5,3,3,4,5,2,2,2,1,1,3,1,3,2,2,2,3,2,3
155,4427,Female,IGCSE (British),5,5,3,5,5,3,3,3,3,1,5,5,5,5,5,5,3,5,5
156,4426,Female,IGCSE (British),5,5,4,5,5,2,1,1,1,1,2,1,2,1,4,4,4,5,4
157,4440,Male,IGCSE (British),2,3,4,2,5,1,1,1,1,1,3,2,4,1,5,2,5,3,3
158,4446,Male,IGCSE (British),5,4,5,5,5,3,3,4,3,4,5,1,3,4,1,3,3,5,3
159,4432,Female,IGCSE (British),4,5,3,4,3,2,1,3,1,2,3,2,3,3,3,2,4,3,2
160,4438,Female,IGCSE (British),4,4,4,5,5,1,1,1,1,1,1,1,1,1,2,1,4,3,4
161,4449,Female,American Diploma,5,3,5,5,5,2,2,2,4,4,2,2,4,5,5,5,5,5,5
162,4435,Female,IB,3,2,5,4,3,2,1,3,2,1,3,2,3,1,4,3,2,3,3
163,4448,Female,IB,4,5,5,5,3,2,1,2,3,3,3,1,3,1,4,3,5,5,5
164,4455,Female,American Diploma,2,2,3,4,5,1,1,1,1,1,1,1,1,4,4,2,4,5,4
165,4451,Female,American Diploma,5,5,5,5,5,2,1,3,1,1,3,2,3,5,5,5,5,5,5
166,4447,Female,American Diploma,5,5,5,5,5,3,2,2,2,2,5,3,5,5,3,3,5,5,5
167,4459,Female,American Diploma,4,4,3,5,5,1,1,1,1,1,2,4,3,3,5,5,5,5,5
168,4457,Female,American Diploma,3,4,5,4,5,4,4,3,2,2,4,4,3,4,4,3,5,4,4
169,4456,Female,American Diploma,4,4,4,5,4,2,3,2,2,2,3,2,3,3,4,4,4,5,3
170,4454,Female,IB,5,1,3,3,3,1,3,3,1,1,4,1,1,3,3,5,3,5,3
171,4458,Female,IB,4,5,3,5,3,4,3,2,2,2,5,1,5,4,5,4,5,5,5
172,4460,Female,American Diploma,5,4,5,5,5,2,2,1,2,1,3,2,2,2,3,3,4,5,4
173,4450,Female,American Diploma,3,4,3,5,5,3,3,3,2,2,3,4,4,4,4,4,4,4,4
174,4453,Female,American Diploma,2,3,4,4,2,1,1,1,3,3,1,1,1,1,3,4,4,4,4
175,4452,Female,IB,5,5,5,4,5,1,5,1,1,1,1,1,3,1,5,5,5,5,5
176,4239,Male,American Diploma,3,3,5,5,5,3,1,1,1,2,4,2,5,3,5,5,4,4,4
177,4408,Female,IGCSE (British),3,4,3,5,3,2,2,1,1,1,1,1,2,2,3,4,5,4,4
178,4490,Male,IGCSE (British),4,3,5,4,3,4,1,3,1,1,5,2,4,5,5,5,5,5,5
179,4465,Male,IGCSE (British),4,5,3,5,4,3,3,2,1,3,5,4,5,5,4,3,5,5,4
180,4467,Male,IGCSE (British),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
181,4472,Female,IGCSE (British),1,1,1,5,3,3,1,1,1,1,3,1,5,1,3,5,4,3,1
182,4507,Male,IGCSE (British),5,5,5,5,5,2,2,2,2,3,4,3,5,3,5,5,5,5,5
183,4518,Female,IGCSE (British),2,2,2,4,3,1,1,1,1,1,2,2,1,2,4,3,5,4,4
184,4503,Female,IGCSE (British),5,3,5,3,5,3,1,3,3,1,3,1,3,5,5,5,5,3,3
185,4479,Female,IGCSE (British),5,5,5,5,5,5,5,3,5,5,5,3,5,5,3,3,5,5,5
